bucket,multicell,freq,weighted,h,meas
234,t,1301,23.464080641979409858156835,1,nrep
235,f,384,4.477761198377597261641159,1,nrep
235,t,2182,81.747883421355192230445707,1,nrep
236,f,338,1.826184767802236069083234,1,nrep
236,t,1228,13.524990596672829840671689,1,nrep
237,f,365,2.202340843050097781384415,1,nrep
237,t,1268,19.663301007500090091569016,1,nrep
238,f,357,2.157374490315939008623546,1,nrep
238,t,1413,46.109551440115509528378082,1,nrep
239,f,349,0.054159923688323316484562,1,nrep
239,t,1447,27.419359682229039976808163,1,nrep
240,f,346,1.570272707037936333820273,1,nrep
240,t,2302,91.546630901112916403611553,1,nrep
241,f,346,1.318790081098604466606587,1,nrep
241,t,1496,79.077860679106287274485343,1,nrep
242,f,333,0.868570556530359527982671,1,nrep
242,t,1229,14.181547853737063119373492,1,nrep
243,f,356,0.225612757113996033679520,1,nrep
243,t,1482,31.378099621942439651861337,1,nrep
244,f,479,0.755090312651739646270661,1,nrep
244,t,1563,17.994947780049932894717563,1,nrep
245,f,377,0.964433312038027490321523,1,nrep
245,t,2200,82.113983610614264043077451,1,nrep
246,f,402,6.003127372683978736733123,1,nrep
246,t,1339,58.856333118502528444053112,1,nrep
247,f,419,1.101460850843500701899614,1,nrep
247,t,1416,20.589806756195790277882626,1,nrep
248,f,441,2.489598232776047754416345,1,nrep
248,t,1564,15.817279791058721737571686,1,nrep
249,f,423,1.573372940250050548607423,1,nrep
249,t,1658,37.444893561799937003885236,1,nrep
250,f,455,1.505378205449682376477850,1,nrep
250,t,2562,79.749246744112115742613656,1,nrep
251,f,380,0.150280956487776971197910,1,nrep
251,t,1268,27.524336348105393255740912,1,nrep
252,f,526,0.250872181337813667448714,1,nrep
252,t,1522,66.193672220979238908866740,1,nrep
253,f,479,2.328085579541384469150948,1,nrep
253,t,1608,21.802849381336867980803889,1,nrep
254,f,500,1.453675709284046825486523,1,nrep
254,t,2023,64.607752805698431916356027,1,nrep
255,f,452,3.613819930879026035085737,1,nrep
255,t,2109,68.564398808317527309199998,1,nrep
256,f,487,1.791892308115010416964103,1,nrep
256,t,2020,94.475915274342005218187596,1,nrep
257,f,484,0.685323072474599322820499,1,nrep
257,t,1742,16.908235628657542633301648,1,nrep
258,f,438,1.896690224012950205357283,1,nrep
258,t,1400,38.603321932736609454759605,1,nrep
259,f,601,2.921651736044468479103847,1,nrep
259,t,2205,38.821908588706163161670529,1,nrep
260,f,484,0.336809669313149415284500,1,nrep
260,t,2404,65.544269434792127681320847,1,nrep
261,f,506,1.931334847216437615958020,1,nrep
261,t,1892,41.645044999169357364740351,1,nrep
262,f,504,1.042242614285705975029008,1,nrep
262,t,2053,29.394247636497704234103300,1,nrep
263,f,557,2.324125301263585577434489,1,nrep
263,t,1875,26.943485736055030526484100,1,nrep
264,f,425,0.640123731430915110691949,1,nrep
264,t,1826,35.228036623768407350315000,1,nrep
265,f,659,0.514369647006200417397107,1,nrep
265,t,2711,63.355037212722394004682943,1,nrep
266,f,562,1.346747380535557329209584,1,nrep
266,t,1917,36.118764577469175682325788,1,nrep
267,f,501,0.094011703164726150498751,1,nrep
267,t,1540,9.894484521339985639238501,1,nrep
268,f,338,0.493331900680629354251242,1,nrep
268,t,888,21.965631140215361273759384,1,nrep
269,f,31,0.004549536441441356465581,1,nrep
269,t,24,0.001494198221228169340877,1,nrep
270,f,1792,10.839699722066653464102982,1,nrep
270,t,9612,254.228342345842981193918088,1,nrep
271,f,166,0.024014366350727056077356,1,nrep
271,t,379,5.479649988350251924623171,1,nrep
272,f,547,0.096756810796294145750428,1,nrep
272,t,1404,18.061020665178058703476588,1,nrep
273,f,609,0.345909793011210619733242,1,nrep
273,t,2152,21.275316941000495885286660,1,nrep
274,f,684,0.769876391551213866945282,1,nrep
274,t,2582,26.857827762255169241068258,1,nrep
275,f,649,0.784961198046026131901484,1,nrep
275,t,2680,64.259242491205081466415376,1,nrep
276,f,603,1.852378508731790079322269,1,nrep
276,t,2483,32.013046903241458416694108,1,nrep
277,f,674,2.191524577034399322996449,1,nrep
277,t,2504,35.139862357738023452219321,1,nrep
278,f,708,1.715347812156324132318110,1,nrep
278,t,2826,81.992358207984017923318414,1,nrep
279,f,784,0.380199014217794078216119,1,nrep
279,t,2827,63.842919452618584911383258,1,nrep
280,f,813,3.356820902616970489062702,1,nrep
280,t,3766,141.079961592051146724495034,1,nrep
281,f,654,4.378449138384420686772960,1,nrep
281,t,2377,36.899166303355112400127683,1,nrep
282,f,736,0.672110070641370587310445,1,nrep
282,t,2714,47.592509122925502297739834,1,nrep
283,f,893,3.703902318368866850517125,1,nrep
283,t,3182,97.474926835029712855516975,1,nrep
284,f,854,2.023899714515510384847566,1,nrep
284,t,3124,79.781535645776242291051733,1,nrep
285,f,867,1.181432226113130206774962,1,nrep
285,t,2796,63.903068829716926370050706,1,nrep
286,f,930,4.995369043398900168228603,1,nrep
286,t,3207,94.928015913151014810807766,1,nrep
287,f,982,6.282244403470223298914424,1,nrep
287,t,3311,82.920811191518231330056100,1,nrep
288,f,892,2.204736535953115351481043,1,nrep
288,t,3090,89.474472138254312309672581,1,nrep
289,f,989,6.743926375592184222745675,1,nrep
289,t,3202,80.630762541848317163525801,1,nrep
290,f,1043,4.128446454129610622963304,1,nrep
290,t,3942,115.618715610394272938254176,1,nrep
291,f,1027,3.349497057489294449311792,1,nrep
291,t,3249,65.869961071996969902868020,1,nrep
292,f,993,2.752842469662248230063568,1,nrep
292,t,3370,89.298404219888949110939177,1,nrep
293,f,1005,11.030889671539976813962394,1,nrep
293,t,3783,112.508406494508379821126427,1,nrep
294,f,1112,7.552683430083344310056929,1,nrep
294,t,3640,108.904047800010123053724863,1,nrep
295,f,1061,1.965080721364583379410008,1,nrep
295,t,3942,120.702286956895714371612265,1,nrep
296,f,1178,4.808667559718015029488808,1,nrep
296,t,3756,125.361902494503044206721677,1,nrep
297,f,1180,3.533968651909929667923493,1,nrep
297,t,3986,103.738636024601116506331836,1,nrep
298,f,1130,4.193357786619049625768328,1,nrep
298,t,4240,142.812684079755178015821066,1,nrep
299,f,1191,7.019248527729095537872185,1,nrep
299,t,5491,131.278392640664704579784159,1,nrep
300,f,1231,6.071815209627168192667703,1,nrep
